index_name,value,timestamp,date
深证指数,9796.18,2025-01-13 23:14:13,
上证指数,3160.76,2025-01-13 23:14:16,
深证指数,10165.17,2025-01-15 09:09:12,
上证指数,3240.94,2025-01-15 09:09:15,
深证指数,10165.17,2025-01-15 09:11:49,
上证指数,3240.94,2025-01-15 09:11:52,
深证指数,10129.05,2025-01-15 09:31:48,
上证指数,3230.48,2025-01-15 09:31:51,
深证指数,10108.72,2025-01-15 09:35:25,
上证指数,3233.52,2025-01-15 09:35:28,
深证指数,10090.76,2025-01-15 09:41:20,
上证指数,3236.33,2025-01-15 09:41:22,
深证指数,10093.39,2025-01-15 09:42:56,
上证指数,3236.49,2025-01-15 09:42:59,
深证指数,10106.93,2025-01-15 10:24:01,
上证指数,3236.08,2025-01-15 10:24:04,
深证指数,10088.91,2025-01-15 10:31:24,
上证指数,3234.06,2025-01-15 10:31:27,
深证指数,10089.11,2025-01-15 10:31:49,
上证指数,3233.72,2025-01-15 10:31:52,
深证指数,10085.14,2025-01-15 13:55:47,
上证指数,3231.11,2025-01-15 13:55:50,
深证指数,10086.64,2025-01-15 13:55:58,
上证指数,3231.24,2025-01-15 13:56:01,
深证指数,10088.59,2025-01-15 13:56:07,
上证指数,3231.36,2025-01-15 13:56:10,
深证指数,10088.59,2025-01-15 13:56:18,
上证指数,3231.59,2025-01-15 13:56:21,
深证指数,10074.74,2025-01-15 13:59:44,
上证指数,3228.9,2025-01-15 13:59:47,
深证指数,10048.23,2025-01-15 14:40:49,
上证指数,3225.73,2025-01-15 14:40:52,
深证指数,10060.13,2025-01-15 15:31:56,
上证指数,3227.12,2025-01-15 15:31:59,
深证指数,10060.13,2025-01-15 15:32:58,
上证指数,3227.12,2025-01-15 15:33:01,
深证指数,10060.13,2025-01-15 15:33:09,
上证指数,3227.12,2025-01-15 15:33:12,
深证指数,10060.13,2025-01-15 15:58:08,
上证指数,3227.12,2025-01-15 15:58:11,
深证指数,10060.13,2025-01-15 16:23:01,
上证指数,3227.12,2025-01-15 16:23:04,
深证指数,10060.13,2025-01-15 16:58:08,
上证指数,3227.12,2025-01-15 16:58:11,
深证指数,10060.13,2025-01-15 16:58:18,
上证指数,3227.12,2025-01-15 16:58:21,
深证指数,10060.13,2025-01-15 16:58:28,
上证指数,3227.12,2025-01-15 16:58:31,
深证指数,10060.13,2025-01-15 17:02:17,
上证指数,3227.12,2025-01-15 17:02:20,
深证指数,10060.13,2025-01-15 17:03:37,
上证指数,3227.12,2025-01-15 17:03:40,
深证指数,10060.13,2025-01-15 17:04:30,
上证指数,3227.12,2025-01-15 17:04:33,
深证指数,10060.13,2025-01-15 17:06:27,
上证指数,3227.12,2025-01-15 17:06:30,
深证指数,10060.13,2025-01-15 17:23:59,
上证指数,3227.12,2025-01-15 17:24:02,
深证指数,10060.13,2025-01-15 17:25:01,
上证指数,3227.12,2025-01-15 17:25:05,
深证指数,10060.13,2025-01-15 17:29:55,
上证指数,3227.12,2025-01-15 17:29:58,
深证指数,10060.13,2025-01-16 09:09:31,
上证指数,3227.12,2025-01-16 09:09:35,
深证指数,10060.13,2025-01-16 09:11:41,
上证指数,3227.12,2025-01-16 09:11:44,
深证指数,10060.13,2025-01-16 09:13:07,
上证指数,3227.12,2025-01-16 09:13:10,
深证指数,10060.13,2025-01-16 09:15:47,
上证指数,3227.12,2025-01-16 09:15:50,
深证指数,10060.13,2025-01-16 09:18:17,
上证指数,3227.12,2025-01-16 09:18:21,
深证指数,10060.13,2025-01-16 09:18:47,
上证指数,3227.12,2025-01-16 09:18:50,
深证指数,10060.13,2025-01-16 09:19:17,
上证指数,3227.12,2025-01-16 09:19:20,
深证指数,10060.13,2025-01-16 09:19:48,
上证指数,3227.12,2025-01-16 09:19:51,
深证指数,10060.13,2025-01-16 09:20:35,
上证指数,3227.12,2025-01-16 09:20:38,
深证指数,10060.13,2025-01-16 09:21:05,
上证指数,3227.12,2025-01-16 09:21:08,
深证指数,10158.99,2025-01-16 09:59:10,
上证指数,3248.69,2025-01-16 09:59:13,
深证指数,10114.17,2025-01-16 10:41:42,
上证指数,3239.85,2025-01-16 10:41:44,
深证指数,10109.69,2025-01-16 10:42:12,
上证指数,3240.13,2025-01-16 10:42:15,
深证指数,10107.37,2025-01-16 10:42:59,
上证指数,3239.35,2025-01-16 10:43:02,
深证指数,10103.68,2025-01-16 10:43:44,
上证指数,3238.71,2025-01-16 10:43:47,
深证指数,10095.54,2025-01-16 10:51:20,
上证指数,3236.5,2025-01-16 10:51:23,
深证指数,10106.98,2025-01-16 10:54:37,
上证指数,3240.05,2025-01-16 10:54:39,
深证指数,10098.67,2025-01-16 10:59:15,
上证指数,3238.29,2025-01-16 10:59:19,
深证指数,10097.24,2025-01-16 11:05:16,
上证指数,3240.58,2025-01-16 11:05:18,
深证指数,10063.0,2025-01-16 11:18:32,
上证指数,3231.14,2025-01-16 11:18:35,
深证指数,10053.13,2025-01-16 11:19:44,
上证指数,3228.59,2025-01-16 11:19:47,
深证指数,10062.86,2025-01-16 11:21:56,
上证指数,3230.98,2025-01-16 11:21:59,
深证指数,10067.56,2025-01-16 11:27:51,
上证指数,3234.53,2025-01-16 11:27:54,
深证指数,10065.76,2025-01-16 11:39:27,
上证指数,3233.92,2025-01-16 11:39:30,
深证指数,10065.76,2025-01-16 12:01:22,
上证指数,3233.92,2025-01-16 12:01:25,
深证指数,10070.71,2025-01-16 13:01:13,
上证指数,3234.99,2025-01-16 13:01:16,
深证指数,10081.66,2025-01-16 13:40:13,
上证指数,3230.76,2025-01-16 13:40:16,
深证指数,10082.25,2025-01-16 13:40:43,
上证指数,3229.24,2025-01-16 13:40:46,
深证指数,10067.8,2025-01-16 13:41:41,
上证指数,3228.66,2025-01-16 13:41:44,
深证指数,10057.11,2025-01-16 13:42:44,
上证指数,3227.46,2025-01-16 13:42:47,
深证指数,10055.24,2025-01-16 13:47:20,
上证指数,3226.95,2025-01-16 13:47:22,
深证指数,10068.65,2025-01-16 14:01:23,
上证指数,3227.5,2025-01-16 14:01:27,
深证指数,10110.01,2025-01-16 14:26:39,
上证指数,3235.95,2025-01-16 14:26:42,
深证指数,10095.06,2025-01-16 14:31:58,
上证指数,3232.69,2025-01-16 14:32:01,
深证指数,10091.39,2025-01-16 14:33:52,
上证指数,3231.68,2025-01-16 14:33:54,
深证指数,10082.11,2025-01-16 14:34:57,
上证指数,3229.44,2025-01-16 14:35:00,
深证指数,10084.36,2025-01-16 14:36:17,
